function,calls,avg_time_sec,total_time_sec
new_and_near,1494,0.00013295893801732795,0.19864065339788795
get_nearby_vertices,1091,0.00022864942645908467,0.24945652426686138
collision_free,2190,0.0006313289896283112,1.3826104872860014
connect_shortest_valid,1091,0.001215626002698249,1.3262479689437896
rewire,1088,0.00014328637917060405,0.1558955805376172
